Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
497,1361,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3,1.333333333,4,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,43,3,0.826923077,0.057692308,52,Green Party,Male,4,0,4,0,1.0,
498,1364,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,4.0,4,0.0,0,0,0.0,0,0.0,0,1,7.0,7,1.0,1,0,0.0,0,0.0,0,713,189,13.45283019,3.566037736,53,Republican Party,Male,2,1,12,0,6.0,0.0
499,1365,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,4.0,4,0.0,0,0,0.0,0,0.0,0,1,7.0,7,1.0,1,0,0.0,0,0.0,0,713,189,13.45283019,3.566037736,53,Republican Party,Male,2,1,12,0,6.0,0.0
500,1366,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,4.0,4,0.0,0,0,0.0,0,0.0,0,1,7.0,7,1.0,1,0,0.0,0,0.0,0,713,189,13.45283019,3.566037736,53,Republican Party,Male,2,1,12,0,6.0,0.0
501,1368,0,0.0,0,0.0,0,1,3145.0,3145,443.0,443,0,0.0,0,0.0,0,2,5618.0,11236,1745.5,3491,5,1907.8,9539,326.8,1634,2,9243.0,18486,2522.0,5044,1,18482.0,18482,5535.0,5535,0,0.0,0,0.0,0,0,0.0,0,0.0,0,607898,151504,5901.922329999999,1470.9126210000002,103,Democratic Party,Male,8,3,58720,18315,7340.0,6105.0
502,1372,0,0.0,0,0.0,0,1,9.0,9,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,453,157,18.12,6.28,25,Republican Party,Male,0,1,0,11,,11.0
503,1373,0,0.0,0,0.0,0,1,9.0,9,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,453,157,18.12,6.28,25,Republican Party,Male,0,1,0,11,,11.0
504,1379,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,633.0,1266,261.0,522,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,793.0,793,93.0,93,0,0.0,0,0.0,0,0,0.0,0,0.0,0,62125,15090,986.1111110999999,239.52380950000003,63,Democratic Party,Male,1,2,886,1788,886.0,894.0
505,1380,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,633.0,1266,261.0,522,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,793.0,793,93.0,93,0,0.0,0,0.0,0,0,0.0,0,0.0,0,62125,15090,986.1111110999999,239.52380950000003,63,Democratic Party,Male,1,2,886,1788,886.0,894.0
506,1383,2,62.0,124,16.0,32,0,0.0,0,0.0,0,2,25.5,51,5.5,11,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,43.0,86,9.0,18,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2624,614,34.07792208,7.974025974,77,Democratic Party,Female,2,4,104,218,52.0,54.5
